スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
キックオフ	kickoff	K_IH1_K_AO2_F
アナルセックス	anal|sex	EY1_N_AH0_L|S_EH1_K_S
プローズ	prose	P_R_OW1_Z
アースン	earthen	ER1_TH_AH0_N
プレスコード	press|code	P_R_EH1_S|K_OW1_D
スターダム	stardom	S_T_AA1_R_D_AH0_M
チームプレイ	team|play	T_IY1_M|P_L_EY1
ログイン	login	L_AO1_G_IH2_N
マップ	map	M_AE1_P
アンプリファイ	amplify	AE1_M_P_L_AH0_F_AY2
コミュニティースポーツ	community|sports	K_AH0_M_Y_UW1_N_AH0_T_IY0|S_P_AO1_R_T_S
メノナイト	mennonite	M_EH1_N_AH0_N_AY2_T
カラービット	color|bit	K_AH1_L_ER0|B_IH1_T
サイドアウト	side|out	S_AY1_D|AW1_T
ジェントリフィケーション	gentrification	JH_EH2_N_T_R_IH0_F_IH0_K_EY1_SH_AH0_N
ポニーテイル	ponytail	P_OW1_N_IY0_T_EY2_L
ボブキャット	bobcat	B_AA1_B_K_AE2_T
インナーウェア	underwear	AH1_N_D_ER0_W_EH2_R
リカバリメディア	recovery|media	R_IH0_K_AH1_V_R_IY0|M_IY1_D_IY0_AH0
ポイントカード	point|card	P_OY1_N_T|K_AA1_R_D
クロルデン	chlordane	K_L_AO1_R_D_EY2_N
ラボプリントサービス	photo|print|service	F_OW1_T_OW2|P_R_IH1_N_T|S_ER1_V_AH0_S
リスナー	listener	L_IH1_S_AH0_N_ER0
オールシーズンコート	all|season|coat	AO1_L|S_IY1_Z_AH0_N|K_OW1_T
シングルマッチ	single|match	S_IH1_NG_G_AH0_L|M_AE1_CH
サープラス	surplus	S_ER1_P_L_AH0_S
ハーフボレー	half|volley	HH_AE1_F|V_AA1_L_IY0
パワーユーザー	power|user	P_AW1_ER0|Y_UW1_Z_ER0
シーイング	seeing	S_IY1_IH0_NG
ビフォア	before	B_IH0_F_AO1_R
マンション	mansion	M_AE1_N_SH_AH0_N
チーズバーガー	cheeseburger	CH_IY1_Z_B_ER0_G_ER0
ミュージックホール	music|hall	M_Y_UW1_Z_IH0_K|HH_AO1_L
ドローボール	draw|ball	D_R_AO1|B_AO1_L
グリッドパターン	grid|pattern	G_R_IH1_D|P_AE1_T_ER0_N
コイルスプリング	coil|spring	K_OY1_L|S_P_R_IH1_NG
プログラミングインターフェイス	programming|interface	P_R_OW1_G_R_AE2_M_IH0_NG|IH1_N_T_ER0_F_EY2_S
コラムニスト	columnist	K_AA1_L_AH0_M_N_AH0_S_T
ミリタリールック	military|look	M_IH1_L_AH0_T_EH2_R_IY0|L_UH1_K
オイルカラー	oil|color	OY1_L|K_AH1_L_ER0
ギャップイヤー	gap|year	G_AE1_P|Y_IH1_R
レモンスカッシュ	lemon|squash	L_EH1_M_AH0_N|S_K_W_AA1_SH
コーンフレークス	corn|flakes	K_AO1_R_N|F_L_EY1_K_S
マスターベーション	masturbation	M_AE2_S_T_ER0_B_EY1_SH_AH0_N
セボリー	savory	S_EY1_V_ER0_IY0
フロスチング	frosting	F_R_AO1_S_T_IH0_NG
バイシーモス	bi|cmos	B_AY1|S_IY1_M_OW0_S
ヒープ	heap	HH_IY1_P
エチケット	etiquette	EH1_T_AH0_K_AH0_T
オールナイト	all|night	AO1_L|N_AY1_T
ロシアデスマン	russia|desman	R_AH1_SH_AH0|D_EH1_Z_M_AH0_N
ウィザード	wizard	W_IH1_Z_ER0_D
ディストーション	distortion	D_IH0_S_T_AO1_R_SH_AH0_N
グラスノスチ	glasnost	G_L_AE1_S_N_AA0_S_T
ビューティースポット	beauty|spot	B_Y_UW1_T_IY0|S_P_AA1_T
コナ	kona	K_OW1_N_AH0
ストーブリーグ	stove|league	S_T_OW1_V|L_IY1_G
インデックスファンド	index|fund	IH1_N_D_EH0_K_S|F_AH1_N_D
フルスコア	full|score	F_UH1_L|S_K_AO1_R
クロワッサン	croissant	K_W_AA2_S_AA1_N_T
マニピュレイト	manipulate	M_AH0_N_IH1_P_Y_AH0_L_EY2_T
オブストラクション	obstruction	AH0_B_S_T_R_AH1_K_SH_AH0_N
アルファルファ	alfalfa	AE2_L_F_AE1_L_F_AH0
レイオフ	layoff	L_EY1_AO2_F
クリームサンデー	cream|sundae	K_R_IY1_M|S_AH1_N_D_EY0
ベテルギウス	betelgeuse	B_EH1_T_AH0_L_G_UH0_Z
ノベンバー	november	N_OW0_V_EH1_M_B_ER0
ジャズコーラス	jazz|chorus	JH_AE1_Z|K_AO1_R_AH0_S
リビングウイル	living|will	L_IH1_V_IH0_NG|W_IH1_L
コンデンス	condense	K_AH0_N_D_EH1_N_S
ダーク	dark	D_AA1_R_K
マリガン	mulligan	M_AH1_L_IH0_G_AH0_N
フェアボール	fair|ball	F_EH1_R|B_AO1_L
シングルタスク	single|task	S_IH1_NG_G_AH0_L|T_AE1_S_K
ノックアウト	knockout	N_AA1_K_AW2_T
キャンドルーチン	canned|routine	K_AE1_N_D|R_UW0_T_IY1_N
セマンティック	semantic	S_IH0_M_AE1_N_T_IH0_K
フリーソフト	free|soft	F_R_IY1|S_AO1_F_T
グローランプ	glow|lamp	G_L_OW1|L_AE1_M_P
ブラックライト	black|light	B_L_AE1_K|L_AY1_T
フレンチポップス	french|pops	F_R_EH1_N_CH|P_AA1_P_S
メガクラスター	mega|cluster	M_EH1_G_AH0|K_L_AH1_S_T_ER0
セルラーフォン	cellular|phone	S_EH1_L_Y_AH0_L_ER0|F_OW1_N
スレッドタイトル	thread|title	TH_R_EH1_D|T_AY1_T_AH0_L
ハイバックチェア	high|back|chair	HH_AY1|B_AE1_K|CH_EH1_R
ランタン	lantern	L_AE1_N_T_ER0_N
デジタルオーディオラジオサービス	digital|audio|radio|service	D_IH1_JH_AH0_T_AH0_L|AA1_D_IY0_OW2|R_EY1_D_IY0_OW2|S_ER1_V_AH0_S
ボビンレース	bobbin|lace	B_AA1_B_AH0_N|L_EY1_S
ブループリント	blueprint	B_L_UW1_P_R_IH2_N_T
プローン	prawn	P_R_AO1_N
イタリアンカット	italian|cut	IH2_T_AE1_L_Y_AH0_N|K_AH1_T
カーカー	caw|caw	K_AO1|K_AO1
リジェクト	reject	R_IH0_JH_EH1_K_T
アクチュアル	actual	AE1_K_CH_AH0_W_AH0_L
ネットスケープコミュニケータ	netscape|communicator	N_EH1_T_S_K_EY2_P|K_AH0_M_Y_UW1_N_AH0_K_EY2_T_ER0
ウェブアドレス	web|address	W_EH1_B|AE1_D_R_EH2_S
スラヴ	slav	S_L_AA1_V
トールワゴン	tall|wagon	T_AO1_L|W_AE1_G_AH0_N
サービスプロバイダ	service|provider	S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
コンテナファイル	container|file	K_AH0_N_T_EY1_N_ER0|F_AY1_L
ワーキングカップル	working|couple	W_ER1_K_IH0_NG|K_AH1_P_AH0_L
ダーティーボム	dirty|bomb	D_ER1_T_IY0|B_AA1_M
ドーム	dome	D_OW1_M
パントキック	punt|kick	P_AH1_N_T|K_IH1_K
テークオーバー	take|over	T_EY1_K|OW1_V_ER0
オフィシャルサプライヤー	official|supplier	AH0_F_IH1_SH_AH0_L|S_AH0_P_L_AY1_ER0
コッカースパニエル	cocker|spaniel	K_AA1_K_ER0|S_P_AE1_N_Y_AH0_L
ケミカルヒートポンプ	chemical|heat|pump	K_EH1_M_IH0_K_AH0_L|HH_IY1_T|P_AH1_M_P
グルコサミン	glucosamine	G_L_UW0_K_AA1_S_AH0_M_IY2_N
ソフトリターン	soft|return	S_AA1_F_T|R_IH0_T_ER1_N
キャビネットフロントドア	cabinet|front|door	K_AE1_B_AH0_N_AH0_T|F_R_AH1_N_T|D_AO1_R
ゴールデントライアングル	golden|triangle	G_OW1_L_D_AH0_N|T_R_AY1_AE2_NG_G_AH0_L
ゴールキック	goal|kick	G_OW1_L|K_IH1_K
ロードバイク	road|bike	R_OW1_D|B_AY1_K
ゴールデン	golden	G_OW1_L_D_AH0_N
キータイトル	key|title	K_IY1|T_AY1_T_AH0_L
コンフォートバイク	comfort|bike	K_AH1_M_F_ER0_T|B_AY1_K
ハードコピー	hard|copy	HH_AA1_R_D|K_AA1_P_IY0
オレンジ	orange	AO1_R_IH0_N_JH
フォルダー	folder	F_OW1_L_D_ER0
アファーマティブアクション	affirmative|action	AH0_F_ER1_M_AH0_T_IH0_V|AE1_K_SH_AH0_N
シガーボックス	cigar|box	S_IH0_G_AA1_R|B_AA1_K_S
アクティブオブジェクト	active|object	AE1_K_T_IH0_V|AA1_B_JH_EH0_K_T
ハフニウム	hafnium	HH_AE1_F_N_IY0_AH0_M
モーターグライダー	motor|glider	M_OW1_T_ER0|G_L_AY1_D_ER0
ブロックゲジ	block|gauge	B_L_AA1_K|G_EY1_JH
セキュリティリスク	security|risk	S_IH0_K_Y_UH1_R_AH0_T_IY0|R_IH1_S_K
タブコントロール	tab|control	T_AE1_B|K_AH0_N_T_R_OW1_L
ヒドロゾル	hydrosol	HH_AY1_D_R_AH0_S_AA2_L
ネグロイド	negroid	N_IY1_G_R_OY0_D
ハッピーアワー	happy|hour	HH_AE1_P_IY0|AW1_ER0
テキーラ	tequila	T_AH0_K_IY1_L_AH0
ナショナリズム	nationalism	N_AE1_SH_AH0_N_AH0_L_IH2_Z_AH0_M
サインオフ	sign|off	S_AY1_N|AO1_F
ナショナル	national	N_AE1_SH_AH0_N_AH0_L
ラウンドナンバー	round|number	R_AW1_N_D|N_AH1_M_B_ER0
セクシュアルデザイア	sexual|desire	S_EH1_K_SH_UW0_AH0_L|D_IH0_Z_AY1_ER0
インティファーダ	intifada	IH2_N_T_IH0_F_AA1_D_AH0
モノグラム	monogram	M_AA1_N_AH0_G_R_AE2_M
ドライポイント	drypoint	D_R_AY1_P_OY2_N_T
パパラッチ	paparazzi	P_AA2_P_AA0_R_AO1_Z_IY2
ミックストリアリティー	mixed|reality	M_IH1_K_S_T|R_IY2_AE1_L_AH0_T_IY2
サラダオイル	salad|oil	S_AE1_L_AH0_D|OY1_L
サーチライト	searchlight	S_ER1_CH_L_AY2_T
フー	phew	F_Y_UW1
インテリジェンスサービス	intelligence|service	IH2_N_T_EH1_L_AH0_JH_AH0_N_S|S_ER1_V_AH0_S
スタッフドエッグ	stuffed|egg	S_T_AH1_F_T|EH1_G
ビデオリンク	video|link	V_IH1_D_IY0_OW0|L_IH1_NG_K
インジウム	indium	IH1_N_D_IY0_AH0_M
アーベイン	urbane	ER0_B_EY1_N
アメリカンスクール	american|school	AH0_M_EH1_R_IH0_K_AH0_N|S_K_UW1_L
スパークリング	sparkling	S_P_AA1_R_K_L_IH0_NG
クロスレート	cross|rate	K_R_AO1_S|R_EY1_T
セラピードッグ	therapy|dog	TH_EH1_R_AH0_P_IY0|D_AO1_G
ラウンジ	lounge	L_AW1_N_JH
ガスストーブ	gas|stove	G_AE1_S|S_T_OW1_V
ヒットエンドラン	hit|and|run	HH_IH1_T|AH0_N_D|R_AH1_N
フィーダ	feeder	F_IY1_D_ER0
コントロールタワー	control|tower	K_AH0_N_T_R_OW1_L|T_AW1_ER0
ノーチェック	no|check	N_OW1|CH_EH1_K
リンクグループ	link|group	L_IH1_NG_K|G_R_UW1_P
ファーストベース	first|base	F_ER1_S_T|B_EY1_S
コミューターサービス	commuter|service	K_AH0_M_Y_UW1_T_ER0|S_ER1_V_AH0_S
チアガール	cheer|girl	CH_IH1_R|G_ER1_L
インフォマック	info|mac	IH1_N_F_OW0|M_AE1_K
アンバランス	unbalance	AH0_N_B_AE1_L_AH0_N_S
ショッキングピンク	shocking|pink	SH_AA1_K_IH0_NG|P_IH1_NG_K
フーダニット	whodunit	HH_UW0_D_AH1_N_IH0_T
プレイマット	play|mat	P_L_EY1|M_AE1_T
ヴィクトリア	victoria	V_IH0_K_T_AO1_R_IY0_AH0
ツーロック	two|lock	T_UW1|L_AA1_K
トップシーン	top|scene	T_AA1_P|S_IY1_N
レシーバー	receiver	R_AH0_S_IY1_V_ER0
フォトグラフィ	photography	F_AH0_T_AA1_G_R_AH0_F_IY0
リグレッション	regression	R_AH0_G_R_EH1_SH_AH0_N
クリシェ	cliche	K_L_IY0_SH_EY1
スーパーソニック	supersonic	S_UW2_P_ER0_S_AA1_N_IH0_K
バルサミコ	balsamic	B_AA2_L_S_AA1_M_IH0_K
ピープショー	peep|show	P_IY1_P|SH_OW1
ハウジングサービス	housing|service	HH_AW1_Z_IH0_NG|S_ER1_V_AH0_S
エチルエーテル	ethyl|ether	EH1_TH_AH0_L|IY1_TH_ER0
ステーキハウス	steakhouse	S_T_EY1_K_HH_AW2_S
スタートアップスクリーン	startup|screen	S_T_AA1_R_T_AH2_P|S_K_R_IY1_N
ダミー	dummy	D_AH1_M_IY0
シーカヤック	sea|kayak	S_IY1|K_AY1_AE0_K
マスクメロン	muskmelon	M_AH1_S_K_M_EH2_L_AH0_N
フルパス	full|path	F_UH1_L|P_AE1_TH
グリーンスクール	green|school	G_R_IY1_N|S_K_UW1_L
メモラブル	memorable	M_EH1_M_ER0_AH0_B_AH0_L
フォグ	fog	F_AA1_G
マーキング	marking	M_AA1_R_K_IH0_NG
コンベンションセンター	convention|center	K_AH0_N_V_EH1_N_SH_AH0_N|S_EH1_N_T_ER0
ラジャー	roger	R_AA1_JH_ER0
アイスクリームソーダ	ice|cream|soda	AY1_S|K_R_IY1_M|S_OW1_D_AH0
アクティブタスク	active|task	AE1_K_T_IH0_V|T_AE1_S_K
オードブル	hors|d'oeuvre	HH_AO1_R_Z|D_ER1_V
ジハード	jihad	JH_IY0_HH_AA1_D
グラスホッパー	grasshopper	G_R_AE1_S_HH_AA2_P_ER0
レシート	receipt	R_IH0_S_IY1_T
ショートパント	short|punt	SH_AO1_R_T|P_AH1_N_T
プライベートアドレス	private|address	P_R_AY1_V_AH0_T|AE1_D_R_EH2_S
ポンジースキーム	ponzi|scheme	P_AA1_N_Z_IY0|S_K_IY1_M
エアロ	aero	EH1_R_OW0
インターバンク	interbank	IH2_N_T_ER0_B_AE1_NG_K
トップスピン	top|spin	T_AA1_P|S_P_IH1_N
スロート	throat	TH_R_OW1_T
ストリップガール	strip|girl	S_T_R_IH1_P|G_ER1_L
ライフセービング	life|saving	L_AY1_F|S_EY1_V_IH0_NG
スクールカースト	school|caste	S_K_UW1_L|K_AE1_S_T
ラブチャイルド	love|child	L_AH1_V|CH_AY1_L_D
ユピテル	jupiter	JH_UW1_P_AH0_T_ER0
スイッチング	switching	S_W_IH1_CH_IH0_NG
ロンガン	longan	L_AA1_NG_G_AH0_N
スプラウト	sprout	S_P_R_AW1_T
コンマ	comma	K_AA1_M_AH0
アンダースキル	under|skill	AH1_N_D_ER0|S_K_IH1_L
パンティストッキング	panty|stocking	P_AE1_N_T_IY0|S_T_AA1_K_IH0_NG
スキルフル	skillful	S_K_IH1_L_F_AH0_L
リトライ	retry	R_IY0_T_R_AY1
ランディングゾーン	landing|zone	L_AE1_N_D_IH0_NG|Z_OW1_N
ドライミルク	dry|milk	D_R_AY1|M_IH1_L_K
クレソン	cresson	K_R_EH1_S_AH0_N
グレープフルーツ	grapefruit	G_R_EY1_P_F_R_UW2_T
プリズム	prism	P_R_IH1_Z_AH0_M
レーダービーコン	radar|beacon	R_EY1_D_AA2_R|B_IY1_K_AH0_N
グリーンアーキテクチャー	green|architecture	G_R_IY1_N|AA1_R_K_AH0_T_EH2_K_CH_ER0
アメリカンフットボール	american|football	AH0_M_EH1_R_IH0_K_AH0_N|F_UH1_T_B_AO2_L
チームティーチング	team|teaching	T_IY1_M|T_IY1_CH_IH0_NG
エレクトロニッククッキング	electronic|cooking	IH2_L_EH2_K_T_R_AA1_N_IH0_K|K_UH1_K_IH0_NG
アプロディーテー	aphrodite	AE2_F_R_AH0_D_AY1_T_IY0
パッケージツアー	package|tour	P_AE1_K_AH0_JH|T_UH1_R
デメリット	demerit	D_IY0_M_EH1_R_AH0_T
デジュール	de|jure	D_IY1|JH_UH1_R
コンパルソリーフィギュア	compulsory|figure	K_AH0_M_P_AH1_L_S_ER0_IY0|F_IH1_G_Y_ER0
ラッピングバス	wrapping|bus	R_AE1_P_IH0_NG|B_AH1_S
カリビアンリーフシャーク	caribbean|reef|shark	K_EH0_R_IH1_B_IY2_AH0_N|R_IY1_F|SH_AA1_R_K
ホワイトタイガー	white|tiger	W_AY1_T|T_AY1_G_ER0
マルティーニ	martini	M_AA0_R_T_IY1_N_IY0
セントラルリーグ	central|league	S_EH1_N_T_R_AH0_L|L_IY1_G
エコ	eco	EH1_K_OW0
スタックポインタ	stack|pointer	S_T_AE1_K|P_OY1_N_T_ER0
リカバリ	recovery	R_IH0_K_AH1_V_R_IY0
フランチャイジー	franchisee	F_R_AE1_N_CH_AY2_Z_IY1
プロトコール	protocol	P_R_OW1_T_AH0_K_AA2_L
ロータリー	rotary	R_OW1_T_ER0_IY0
フラッシュ	flush	F_L_AH1_SH
ボールド	bold	B_OW1_L_D
コーヒースタンド	coffee|stand	K_AA1_F_IY0|S_T_AE1_N_D
コーポレートカラー	corporate|colour	K_AO1_R_P_ER0_AH0_T|K_AH1_L_ER0
クリエイティブコンテンツ	creative|contents	K_R_IY0_EY1_T_IH0_V|K_AA1_N_T_EH0_N_T_S
ネーミングライト	naming|right	N_EY1_M_IH0_NG|R_AY1_T
バッファロー	buffalo	B_AH1_F_AH0_L_OW2
チェックアウト	check|out	CH_EH1_K|AW1_T
グリッロ	grillo	G_R_IH1_L_OW0
モデルスクール	model|school	M_AA1_D_AH0_L|S_K_UW1_L
ノーサイド	no|side	N_OW1|S_AY1_D
インクリメント	increment	IH1_N_K_R_AH0_M_AH0_N_T
ケーゲル	kegel	K_EH1_JH_AH0_L
プライマリディスク	primary|disk	P_R_AY1_M_EH2_R_IY0|D_IH1_S_K
サーチパス	search|path	S_ER1_CH|P_AE1_TH
アースダム	earth|dam	ER1_TH|D_AE1_M
クラスライブラリ	class|library	K_L_AE1_S|L_AY1_B_R_EH0_R_IY2
ラッシュガード	rash|guard	R_AE1_SH|G_AA1_R_D
ホームルーム	home|room	HH_OW1_M|R_UW1_M
ポリマーアロイ	polymer|alloy	P_AA1_L_AH0_M_ER0|AE1_L_OY2
コードネーム	code|name	K_OW1_D|N_EY1_M
マーシャルプラン	marshall|plan	M_AA1_R_SH_AH0_L|P_L_AE1_N
ナン	nan	N_AE1_N
ディストリビューション	distribution	D_IH2_S_T_R_AH0_B_Y_UW1_SH_AH0_N
インターアクション	interaction	IH2_N_T_ER0_AE1_K_SH_AH0_N
ファイナル	final	F_AY1_N_AH0_L
ピットクルー	pit|crew	P_IH1_T|K_R_UW1
ステンレス	stainless	S_T_EY1_N_L_AH0_S
バックコーミング	back|combing	B_AE1_K|K_OW1_M_IH0_NG
ワンススルー	once|through	W_AH1_N_S|TH_R_UW1
ボナンザ	bonanza	B_AH0_N_AE1_N_Z_AH0
マカダミアナッツ	macadamia|nuts	M_AE2_K_AH0_D_EY1_M_IY0_AH0|N_AH1_T_S
パッシブソーナー	passive|sonar	P_AE1_S_IH0_V|S_OW1_N_AA0_R
テレフォニー	telephony	T_EH1_L_AH0_F_OW2_N_IY0
リレーション	relation	R_IY0_L_EY1_SH_AH0_N
ミスト	mist	M_IH1_S_T
シュールレアリスム	surrealism	S_ER0_IY1_L_IH0_Z_AH0_M
サービスエリア	service|area	S_ER1_V_AH0_S|EH1_R_IY0_AH0
デフォルトデータ	default|data	D_IH0_F_AO1_L_T|D_EY1_T_AH0
ウィラメット	willamette	W_AH0_L_AE1_M_AH0_T
シフォンベルベット	chiffon|velvet	SH_IH0_F_AA1_N|V_EH1_L_V_AH0_T
サブキャラクター	sub|character	S_AH1_B|K_AE1_R_IH0_K_T_ER0
アサンプション	assumption	AH0_S_AH1_M_P_SH_AH0_N
ヒロイック	heroic	HH_IH0_R_OW1_IH0_K
クルエルー	cruel	K_R_UW1_AH0_L
バルーンシャーク	balloon|shark	B_AH0_L_UW1_N|SH_AA1_R_K
エンドカーラー	end|curler	EH1_N_D|K_ER1_L_ER0
ミニスター	minister	M_IH1_N_AH0_S_T_ER0
フルーツサンド	fruits|sand	F_R_UW1_T_S|S_AE1_N_D
デスクセット	desk|set	D_EH1_S_K|S_EH1_T
カミン	kamin	K_AA1_M_IY0_N
ロードサービス	road|service	R_OW1_D|S_ER1_V_AH0_S
フォールト	fault	F_AO1_L_T
ハイポ	hypo	HH_AY1_P_OW0
ウィドウア	widower	W_IH1_D_OW0_ER0
カラーコーディネーション	color|coordination	K_AH1_L_ER0|K_OW0_AO2_R_D_AH0_N_EY1_SH_AH0_N
リスケジュール	reschedule	R_IY0_S_K_EH1_JH_UW0_L
アイリッシュセッター	irish|setter	AY1_R_IH0_SH|S_EH1_T_ER0
サテライトオフィス	satellite|office	S_AE1_T_AH0_L_AY2_T|AO1_F_AH0_S
ノマド	nomad	N_OW1_M_AE2_D
ゾウディアック	zodiac	Z_OW1_D_IY0_AE2_K
イージス	aegis	IY1_JH_AH0_S
クーリングタワー	cooling|tower	K_UW1_L_IH0_NG|T_AW1_ER0
クロシェット	crochet	K_R_OW0_SH_EY1
プライバシーポリシー	privacy|policy	P_R_AY1_V_AH0_S_IY0|P_AA1_L_AH0_S_IY0
カレントドライブ	current|drive	K_ER1_AH0_N_T|D_R_AY1_V
カスタムパネルウィンドウ	custom|panel|window	K_AH1_S_T_AH0_M|P_AE1_N_AH0_L|W_IH1_N_D_OW0
ウィローグリーン	willow|green	W_IH1_L_OW2|G_R_IY1_N
エアロダイナミックス	aerodynamics	EH2_R_OW0_D_AY0_N_AE1_M_IH0_K_S
ニンフ	nymph	N_IH1_M_F
キーインダストリー	key|industry	K_IY1|IH1_N_D_AH0_S_T_R_IY0
チケットレス	ticketless	T_IH1_K_AH0_T_L_AH0_S
ミディ	midi	M_IY1_D_IY0
シーレン	sea|lane	S_IY1|L_EY1_N
バチスト	batiste	B_AH0_T_IH1_S_T_AH0
クラップス	craps	K_R_AE1_P_S
バルコニー	balcony	B_AE1_L_K_AH0_N_IY0
ヌーディスト	nudist	N_UW1_D_IH0_S_T
ジャパニーズイングリッシュ	japanese|english	JH_AE2_P_AH0_N_IY1_Z|IH1_NG_G_L_IH0_SH
ダイヤモンドルース	diamond|loose	D_AY1_M_AH0_N_D|L_UW1_S
バラクーダ	barracuda	B_EH2_R_AH0_K_UW1_D_AH0
ランク	rank	R_AE1_NG_K
アクションパズルゲーム	action|puzzle|game	AE1_K_SH_AH0_N|P_AH1_Z_AH0_L|G_EY1_M
アスピレーション	aspiration	AE2_S_P_ER0_EY1_SH_AH0_N
コンバットレーション	combat|ration	K_AA1_M_B_AE0_T|R_AE1_SH_AH0_N
アンチコメント	negative|comment	N_EH1_G_AH0_T_IH0_V|K_AA1_M_EH0_N_T
ファンクションコール	function|call	F_AH1_NG_K_SH_AH0_N|K_AO1_L
プットオプション	put|option	P_UH1_T|AA1_P_SH_AH0_N
ハンガー	hangar	HH_AE1_NG_ER0
ウオッチポケット	watch|pocket	W_AA1_CH|P_AA1_K_AH0_T
コーラスガール	chorus|girl	K_AO1_R_AH0_S|G_ER1_L
パワーリード	power|lead	P_AW1_ER0|L_EH1_D
コンバイン	combine	K_AA1_M_B_AY0_N
アレース	ares	AA1_R_Z
キーポイント	key|point	K_IY1|P_OY1_N_T
ポーカーフェイス	poker|face	P_OW1_K_ER0|F_EY1_S
ファンドマネージャー	fund|manager	F_AH1_N_D|M_AE1_N_AH0_JH_ER0
スレッシャー	thresher	TH_R_EH1_SH_ER0
シャドープライス	shadow|price	SH_AE1_D_OW2|P_R_AY1_S
ダメージジーンズ	damage|jeans	D_AE1_M_AH0_JH|JH_IY1_N_Z
ポストマスタ	postmaster	P_OW1_S_T_M_AE2_S_T_ER0
ラージラケット	large|racket	L_AA1_R_JH|R_AE1_K_IH0_T
サイバーキャッシュ	cybercash	S_AY1_B_ER0_K_AE2_SH
オンラインテストセクション	online|test|section	AO1_N_L_AY2_N|T_EH1_S_T|S_EH1_K_SH_AH0_N
マニホールド	manifold	M_AE1_N_AH0_F_OW2_L_D
インフォメーションテクノロジー	information|technology	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|T_EH0_K_N_AA1_L_AH0_JH_IY0
カントリーミュージック	country|music	K_AH1_N_T_R_IY0|M_Y_UW1_Z_IH0_K
アーカイブライブラリ	archive|library	AA1_R_K_AY2_V|L_AY1_B_R_EH0_R_IY2
レーニン	lenin	L_EH1_N_AH0_N
レポートライン	report|line	R_IY0_P_AO1_R_T|L_AY1_N
アカウンタビリティ	accountability	AH0_K_AW1_N_T_AH0_B_IH2_L_IH0_T_IY0
ベットカバー	bed|cover	B_EH1_D|K_AH1_V_ER0
ラブロマンス	love|romance	L_AH1_V|R_OW0_M_AE1_N_S
インクルーシブ	inclusive	IH2_N_K_L_UW1_S_IH0_V
マントラ	mantra	M_AE1_N_T_R_AH0
セラピスト	therapist	TH_EH1_R_AH0_P_IH0_S_T
エッグベネディクト	egg|benedict	EH1_G|B_EH1_N_AH0_D_IH2_K_T
バンドル	bundle	B_AH1_N_D_AH0_L
ダブルイーグル	double|eagle	D_AH1_B_AH0_L|IY1_G_AH0_L
プロジェクトファイル	project|file	P_R_AA1_JH_EH0_K_T|F_AY1_L
マーケットプレイス	marketplace	M_AA1_R_K_AH0_T_P_L_EY2_S
プロジェクタ	projector	P_R_AA0_JH_EH1_K_T_ER0
フォームファクタ	form|factor	F_AO1_R_M|F_AE1_K_T_ER0
バックミュージック	back|music	B_AE1_K|M_Y_UW1_Z_IH0_K
ボウリングレーン	bowling|lane	B_OW1_L_IH0_NG|L_EY1_N
タンブラースイッチ	tumbler|switch	T_AH1_M_B_L_ER0|S_W_IH1_CH
キャビネットモニタコントローラ	cabinet|monitor|controller	K_AE1_B_AH0_N_AH0_T|M_AA1_N_AH0_T_ER0|K_AH0_N_T_R_OW1_L_ER0
シェリフ	sheriff	SH_EH1_R_AH0_F
パケットアナライザ	packet|analyzer	P_AE1_K_AH0_T|AE1_N_AH0_L_AY2_Z_ER0
ステップアップ	step|up	S_T_EH1_P|AH1_P
スタンプ	stamp	S_T_AE1_M_P
アクウェリアム	aquarium	AH0_K_W_EH1_R_IY0_AH0_M
スーパーボウル	super|bowl	S_UW1_P_ER0|B_OW1_L
ラッキング	racking	R_AE1_K_IH0_NG
ダブルハイフン	double|hyphen	D_AH1_B_AH0_L|HH_AY1_F_AH0_N
キチン	kitchen	K_IH1_CH_AH0_N
ストリーマ	streamer	S_T_R_IY1_M_ER0
ロマ	roma	R_OW1_M_AA0
クエリ	query	K_W_IY1_R_IY0
アゼルバイジャン	azerbaijan	AA2_Z_ER0_B_AY0_JH_AA1_N
ハロゲンライト	halogen|light	HH_AE1_L_AH0_JH_AH0_N|L_AY1_T
ジャンク	junk	JH_AH1_NG_K
チェックライター	check|writer	CH_EH1_K|R_AY1_T_ER0
ドエル	dwell	D_W_EH1_L
ファイリング	filing	F_AY1_L_IH0_NG
エバキュエーション	evacuation	IH0_V_AE2_K_Y_AH0_W_EY1_SH_AH0_N
ゴールデンハムスター	golden|hamster	G_OW1_L_D_AH0_N|HH_AE1_M_S_T_ER0
リンチ	lynch	L_IH1_N_CH
ソーシャルメディア	social|media	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0
ロジン	rosin	R_AA1_Z_AH0_N
オールスター	all-star	AO2_L_S_T_AA1_R
ドレスウオッチ	dress|watch	D_R_EH1_S|W_AA1_CH
プロコンスル	proconsul	P_R_OW0_K_AA1_N_S_AH0_L
ウィンドードレッシング	window|dressing	W_IH1_N_D_OW0|D_R_EH1_S_IH0_NG
グローバルデータ	global|data	G_L_OW1_B_AH0_L|D_EY1_T_AH0
ブロンズ	bronze	B_R_AA1_N_Z
